Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 2,s0,2020-11-21T08:47:11.745678,2000-01-01 08:47:11,Melanie,D,Econome,Feeling,colere,groupe,groupe,groupe,,,
Session 2,s0,2020-11-21T08:47:22.423338,2000-01-01 08:47:22,Aurore,B,Presse,Feeling,joie,theme,theme,theme,Cyril,A,Corporate
Session 2,s0,2020-11-21T08:47:50.388198,2000-01-01 08:47:50,Bastien,C,Ecolo,Feeling,joie,theme,theme,theme,Melanie,D,Econome
Session 2,s0,2020-11-21T08:47:53.364270,2000-01-01 08:47:53,Robot,Robot,Robot,Transmission,joie,groupe,groupe,groupe,theme,theme,theme
Session 2,s0,2020-11-21T08:47:53.758005,2000-01-01 08:47:53,Aurore,B,Presse,Feeling,colere,theme,theme,theme,Melanie,D,Econome
Session 2,s0,2020-11-21T08:48:01.208380,2000-01-01 08:48:01,Bastien,C,Ecolo,Feeling,colere,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s0,2020-11-21T08:48:51.903121,2000-01-01 08:48:51,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s0,2020-11-21T08:48:55.164475,2000-01-01 08:48:55,Aurore,B,Presse,Feeling,colere,Bastien,C,Ecolo,comportement,comportement,comportement
Session 2,s0,2020-11-21T08:48:57.958944,2000-01-01 08:48:57,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,comportement,comportement,comportement
Session 2,s0,2020-11-21T08:49:10.941265,2000-01-01 08:49:10,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,Aurore,B,Presse
Session 2,s0,2020-11-21T08:49:30.535742,2000-01-01 08:49:30,Aurore,B,Presse,Feeling,joie,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s0,2020-11-21T08:49:38.361478,2000-01-01 08:49:38,Aurore,B,Presse,Feeling,colere,comportement,comportement,comportement,Melanie,D,Econome
Session 2,s0,2020-11-21T08:50:44.678637,2000-01-01 08:50:44,Melanie,D,Econome,Feeling,joie,Aurore,B,Presse,,,
