Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 4,s0,2020-12-05T15:32:17.094343,2000-01-01 15:32:17,Richard,C,Ecolo,Feeling,colere,theme,theme,theme,Anne-Marie,A,Presse
Session 4,s0,2020-12-05T15:32:38.066727,2000-01-01 15:32:38,Richard,C,Ecolo,Feeling,colere,theme,theme,theme,Antoine,D,Corporate
Session 4,s0,2020-12-05T15:32:56.526794,2000-01-01 15:32:56,Richard,C,Ecolo,Feeling,colere,theme,theme,theme,Anne-Marie,A,Presse
Session 4,s0,2020-12-05T15:33:02.574287,2000-01-01 15:33:02,Richard,C,Ecolo,Feeling,joie,Katina,B,Econome,theme,theme,theme
Session 4,s0,2020-12-05T15:33:32.590872,2000-01-01 15:33:32,Richard,C,Ecolo,Feeling,joie,theme,theme,theme,Katina,B,Econome
Session 4,s0,2020-12-05T15:34:09.380552,2000-01-01 15:34:09,Katina,B,Econome,Feeling,colere,Anne-Marie,A,Presse,,,
Session 4,s0,2020-12-05T15:34:10.061381,2000-01-01 15:34:10,Antoine,D,Corporate,Feeling,colere,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s0,2020-12-05T15:34:19.696260,2000-01-01 15:34:19,Richard,C,Ecolo,Feeling,colere,theme,theme,theme,Anne-Marie,A,Presse
Session 4,s0,2020-12-05T15:35:08.981058,2000-01-01 15:35:08,Richard,C,Ecolo,Feeling,peur,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s0,2020-12-05T15:35:42.536852,2000-01-01 15:35:42,Richard,C,Ecolo,Feeling,joie,Katina,B,Econome,comportement,comportement,comportement
Session 4,s0,2020-12-05T15:36:06.925406,2000-01-01 15:36:06,Antoine,D,Corporate,Feeling,colere,theme,theme,theme,groupe,groupe,groupe
Session 4,s0,2020-12-05T15:36:21.176083,2000-01-01 15:36:21,Anne-Marie,A,Presse,Feeling,colere,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s1,2020-12-05T15:42:08.826183,2000-01-01 15:42:08,Richard,C,Ecolo,Feeling,colere,comportement,comportement,comportement,Anne-Marie,A,Presse
Session 4,s1,2020-12-05T15:42:10.480584,2000-01-01 15:42:10,Katina,B,Econome,Feeling,joie,Antoine,D,Corporate,,,
Session 4,s1,2020-12-05T15:42:15.107151,2000-01-01 15:42:15,Antoine,D,Corporate,Feeling,joie,Anne-Marie,A,Presse,,,
Session 4,s1,2020-12-05T15:43:19.470675,2000-01-01 15:43:19,Richard,C,Ecolo,Feeling,joie,Antoine,D,Corporate,theme,theme,theme
Session 4,s1,2020-12-05T15:43:26.080036,2000-01-01 15:43:26,Katina,B,Econome,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s1,2020-12-05T15:43:33.764271,2000-01-01 15:43:33,Richard,C,Ecolo,Feeling,joie,Anne-Marie,A,Presse,theme,theme,theme
Session 4,s1,2020-12-05T15:43:47.233444,2000-01-01 15:43:47,Antoine,D,Corporate,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s1,2020-12-05T15:43:57.134103,2000-01-01 15:43:57,Richard,C,Ecolo,Feeling,colere,Katina,B,Econome,theme,theme,theme
Session 4,s1,2020-12-05T15:44:34.146191,2000-01-01 15:44:34,Anne-Marie,A,Presse,Feeling,tristesse,groupe,groupe,groupe,,,
Session 4,s1,2020-12-05T15:44:42.279959,2000-01-01 15:44:42,Katina,B,Econome,Feeling,joie,Anne-Marie,A,Presse,,,
Session 4,s2,2020-12-05T15:47:58.166023,2000-01-01 15:47:58,Richard,C,Ecolo,Feeling,joie,Anne-Marie,A,Presse,theme,theme,theme
Session 4,s2,2020-12-05T15:48:03.463991,2000-01-01 15:48:03,Richard,C,Ecolo,Feeling,colere,Katina,B,Econome,theme,theme,theme
Session 4,s2,2020-12-05T15:48:16.069769,2000-01-01 15:48:16,Richard,C,Ecolo,Feeling,peur,Antoine,D,Corporate,theme,theme,theme
Session 4,s2,2020-12-05T15:48:55.899792,2000-01-01 15:48:55,Richard,C,Ecolo,Feeling,colere,theme,theme,theme,Antoine,D,Corporate
Session 4,s2,2020-12-05T15:49:24.045628,2000-01-01 15:49:24,Richard,C,Ecolo,Feeling,colere,Anne-Marie,A,Presse,theme,theme,theme
Session 4,s2,2020-12-05T15:49:35.677455,2000-01-01 15:49:35,Antoine,D,Corporate,Feeling,joie,Katina,B,Econome,Anne-Marie,A,Presse
Session 4,s2,2020-12-05T15:50:03.006363,2000-01-01 15:50:03,Richard,C,Ecolo,Feeling,joie,Katina,B,Econome,theme,theme,theme
Session 4,s2,2020-12-05T15:50:22.267161,2000-01-01 15:50:22,Anne-Marie,A,Presse,Feeling,colere,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s2,2020-12-05T15:50:56.743115,2000-01-01 15:50:56,Richard,C,Ecolo,Feeling,colere,Antoine,D,Corporate,temps,temps,temps
Session 4,s2,2020-12-05T15:51:17.580625,2000-01-01 15:51:17,Katina,B,Econome,Feeling,joie,comportement,comportement,comportement,none,none,none
Session 4,s2,2020-12-05T15:51:19.620510,2000-01-01 15:51:19,Anne-Marie,A,Presse,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 4,s2,2020-12-05T15:51:23.103245,2000-01-01 15:51:23,Katina,B,Econome,Feeling,joie,Anne-Marie,A,Presse,,,
